Date,Max Air Temp,Min Air Temp,Avg Air Temp,Precipitation,Avg Wind Speed,Avg Wind Direction,Max Solar Radiation,Stations,Year,Month,Week
1/1/1991,21.1,9.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,1
1/2/1991,7.2,9.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,1
1/3/1991,10.7,10.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,1
1/4/1991,12.1,10.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,1
1/5/1991,12.1,8.8,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,1
1/6/1991,16.6,7.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,2
1/7/1991,18.1,11.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,2
1/8/1991,21.6,10.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,2
1/9/1991,7.2,7.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,2
1/10/1991,8.2,9.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,2
1/11/1991,13.7,10.8,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,2
1/12/1991,19.1,10.8,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,2
1/13/1991,16.6,8.8,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,3
1/14/1991,12.1,2.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,3
